Nome,Jogadores_Range,Melhor_em_dados,No. Jogadores,Categoria,Categoria_Display,Image,BGG,Ludopedia,Regras,BiriDeck,BiriDeck_Display,BD_Adaptação,Magana,Conta_Notas,Dummy1,Dummy2,Dummy3,Dummy4,Dummy5,Dummy6,Dummy7,Dummy8,Dummy9,Dummy10,Media,Emoji_Media,Subtitulo,Alex,Bia,Ênyo,Fel,Júlio,Leo,Narumi,Torselli,Nome Alt,Fabrício,Resumo_Vaza,Com Resumo,Jorge O.,Mecânicas Secundárias,Resumo_Outros,Aline,Alison,Bruno Menezes,Daniel,Diego,Fernando,Gustavo,Ju Palmares,Kennedy,Luís Francisco,Marco Portugal,Paty,Paulo,Renato,Thom Bellotto,Zanferrari,Amábili,André,Arthur,BH,Bruno Carvalho,Bruno Feitosa,Bruno Fernandes,Bruno Sia,Flávio,Ítalo,Jorge F.,Luís Tanaka,Mauro,Nan Te,Perdomo,Studart,Targino,Thom Cunha,BD_Informação,Walter,Breno Carvalho,Carla,Eurico,Fernanda,Marcelo Lee,Matias,Mauricio I.,Otávio,Pablo,Riva,BD_PlayerAid,Resumo_Climbing,Lucas,BD_PA_Img,Pagat
Best Candy on the Block,2 - 5 jogadores,4,"2, 3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/fTYe13al4tOgp5atkM1YVQ__imagepage/img/wSTakoqqdtEjTuzuLjK2Npp8EzI=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7624552.jpg,https://boardgamegeek.com/boardgame/357118/best-candy-block-rewrapped,https://ludopedia.com.br/jogo/best-candy-on-the-block,https://drive.google.com/file/d/1B0pIyYkU8WJqaR1RmM_H4yUKuwpf2bbU/view?usp=drive_link,,,,4,10,,,,,,"2,5","2,5","2,5","2,5","2,5","2,7",⭐,"2 - 5 jogadores, ⭐ (10) - ",,3,,2,2,,3,,,,,,,,,,,,,2,,3,,,,,,3,,,3,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Best of Super Slime,3 - 4 jogadores,3,"3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/pa30J9J6ZUSBhw3_ZX4xAA__imagepage/img/GraRene9v_B_dzIk95i_bqcKNC0=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6326479.jpg,https://boardgamegeek.com/boardgame/279763/best-super-slime,https://ludopedia.com.br/jogo/best-of-super-slime,https://drive.google.com/file/d/1Ddk2EnOoWJ4_4HNwoXM4cATJtmNIzX15/view?usp=drive_link,"{CB}
- {Az} {Bk} {Lj} {Vd} {Am} : **[3-7, 9-13, 15]**","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[3-7, 9-13, 15]**",✅✅✅,3,6,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,6538461538",⭐,"3 - 4 jogadores, ⭐ (6) - ✅✅✅",,,,2,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,
Big Two,2 - 4 jogadores,4,"2, 3, 4",Climbing,  Climbing,https://cf.geekdo-images.com/nwyFSDrtYUfBmLp9vft5fg__imagepage/img/_faWbVdQaJ7aWM0-TLITzauc3tQ=/fit-in/900x600/filters:no_upscale():strip_icc()/pic412257.jpg,https://boardgamegeek.com/boardgame/13597/big-two,https://ludopedia.com.br/jogo/big-two,https://drive.google.com/file/d/1Tlp0Z7s5oeXkEibm-noOiwd8AeMwXJLO/view?usp=drive_link,,,,4,6,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","3,0384615385",⭐,"2 - 4 jogadores, ⭐ (6) - ",,,,5,,,,2,,3,,,,,,,,,,,,3,,,,4,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Bittake,3 - 5 jogadores,,"3, 4, 5",Vaza,📝  Vaza,https://cf.geekdo-images.com/Uzc_HA668xI3fXKOXwgqjA__imagepage/img/BFkQRg_0UfZM6w1nFnDmPm_eyos=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7536271.jpg,https://boardgamegeek.com/boardgame/388363/bittake,https://ludopedia.com.br/jogo/bittake,https://drive.google.com/file/d/1AqW_NhICy7LV_QYllEyntWbMxwYtRSQG/view?usp=drive_link,"{CB}
- {Az} {Bk} {Lj} {Vd} {Am} : **[1, 2, 4, cor]**
- {Az} {Bk} {Lj} {Vd} {Am} : **[3, 5, 6] {Verso}**
- {Cz} : **[7-12]**
- **30 cubos pretos**","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[1, 2, 4, cor]**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[3, 5, 6] {Verso}**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/Z_wqjell.png"" style=""height:23px; width:23px; display: inline;""> : **[7-12]**
- **30 cubos pretos**",✅✅✅,1,5,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,1538461538",👍🏻,"3 - 5 jogadores, 👍🏻 (5) - ✅✅✅",,,,1,,,2,2,,,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- Use uma cor por jogador + cartas pretas


**Distribuir Cartas:**
- 7 cartas por jogador


**Bid:**
- Após o passe de cartas, cada jogador faz uma aposta utilizando uma carta não-preta da mão. A aposta se refere ao valor (número da carta) e em qual jogador (cor da carta).
- Na primeira rodada é feito simultâneo, a partir da segundo na ordem reversa do número de fichas (quem tem mais primeiro). 


**Passar:**
- 3 cartas para a esquerda.


**Informações Adicionais:**
- N/A

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Must follow


**Trunfo:**
- Sim, cartas pretas.


**Quem vence a vaza:**
- Maior trunfo, se não houver, maior carta da cor inicial.


**Desempate:**
- N/A


**Quem torna:**
- Quem venceu a última vaza.


**Quem começa a próxima rodada:**
- Quem tiver menos fichas (pontos). Se empatar, o mais próximo em sentido horário do jogador inicial da rodada anterior.


**Informações Adicionais:**
- N/A

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Os pontos são o número da carta da aposta multiplicado pelo número de vazas que o jogador daquela cor fez. De acordo com a quantidade de pontos, receba um número de fichas: 
    - 25+ pontos = 4 fichas
    - 14-24 pontos = 3 fichas
    - 9-12 pontos = 2 fichas
    - 5-8 pontos = 1 ficha
    - 0-4 pontos = 0 fichas


**Fim de Jogo:**
- Algum jogador ter 9/8/7 fichas em 3/4/5 jogadores


**Quem vence o jogo:**
- Quem tiver mais fichas


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- N/A
",📝,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Christmas Poker,2 - 4 jogadores,,"2, 3, 4",Rummy,  Rummy,https://cf.geekdo-images.com/mBPQPhTJXflVA6znPuIvVg__imagepage/img/29ulwvKGEVgsyvhFHwoJr_M8PG4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8208133.jpg,https://boardgamegeek.com/boardgame/421196/buratsukukurisumasupoka-black-christmas-poker,https://ludopedia.com.br/jogo/black-christmas-poker,https://drive.google.com/file/d/1TmykspyIbMkumWrl20YgKqX8DQuH-09L/view?usp=drive_link,,,,,0,,,,,,,,,,,,,"2 - 4 jogadores,  (0) - ",,,,,,,,,ブラッククリスマスポーカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Spy,3 - 6 jogadores,4,"3, 4, 5, 6",Vaza,📝  Vaza,https://cf.geekdo-images.com/yx4mS4N24GrfXIqtYhSCXg__imagepage/img/tG051wtTqB3uzBjqal1qrvvUotk=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3113126.jpg,https://boardgamegeek.com/boardgame/1982/black-spy,https://ludopedia.com.br/jogo/black-spy,https://drive.google.com/file/d/12Z_NOVMYklRbyc4UsNdh5gmfzY4g27dD/view?usp=drive_link,,,,3,4,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5",👍🏻,"3 - 6 jogadores, 👍🏻 (4) - ",,,,2,,,,,,,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- N/A


**Distribuir Cartas:**
- 20/15/12/10 cartas para 3/4/5/6 jogadores


**Bid:**
- N/A


**Passar:**
- N/A


**Informações Adicionais:**
- Cada jogador passa 3 cartas para o jogador à sua esquerda simultaneamente.

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Must Follow: Cor ou número


**Trunfo:**
- Não


**Quem vence a vaza:**
- O jogador que jogou a maior carta da cor líder


**Desempate:**
- Quem jogou primeiro a carta preta empatada


**Quem torna:**
- Quem venceu a vaza.


**Quem começa a próxima rodada:**
- O jogador à esquerda do último jogador inicial.


**Informações Adicionais:**
- Os jogadores devem seguir a carta líder jogando a mesma cor OU o mesmo número

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Apenas as cartas pretas pontuam (total de 80 pontos negativos):
    - Cartas de 1 a 6: -1 ponto cada
    - Cartas 7: -10 pontos cada
    - Cartas 8/9/10/11: -2/-3/-4/-5 pontos respectivamente


**Fim de Jogo:**
- Quando algum jogador atingir 200 pontos ou mais


**Quem vence o jogo:**
- O jogador que possuir o MENOR número de pontos


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- Ver o manual para diversas sugestões de variantes.
",📝,,,,,3,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blast,2 jogadores,2,2,Climbing,  Climbing,https://cf.geekdo-images.com/DrFGZxaGkwmPf0-vnOHx-g__imagepage/img/wmqjGiegk9PQ0Pz2IfjTi4USzD4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6208944.jpg,https://boardgamegeek.com/boardgame/339419/blast,https://ludopedia.com.br/jogo/blast,https://drive.google.com/file/d/1I918kQjcM8I_O7qBJQFj-v2oo4-WeoDQ/view?usp=drive_link,,,,3,2,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5",👍🏻,"2 jogadores, 👍🏻 (2) - ",,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze,3 - 5 jogadores,3,"3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/ejlad9HzsFX0xCPWqTGFmw__imagepage/img/dcjBJqbUgUEhA6vxUTXNVHx7Ts8=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6006816.jpg,https://boardgamegeek.com/boardgame/332317/blaze,https://ludopedia.com.br/jogo/blaze,https://drive.google.com/file/d/1JlMIM_FVlJeuHpFXF9QdlThq3F40ll2n/view?usp=drive_link,,,,2,6,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,4230769231",👍🏻,"3 - 5 jogadores, 👍🏻 (6) - ",,,,2,,,1,2,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blindes Huhn extrem,3 - 5 jogadores,"4, 5","3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/2voe0CzRS6fJobnh3bEsAw__imagepage/img/B16m8Rc2o8e8ag2yU4ehn6zruzE=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3328203.jpg,https://boardgamegeek.com/boardgame/216695/blindes-huhn-extrem,https://ludopedia.com.br/jogo/blindes-huhn-extrem,https://drive.google.com/file/d/1bX1zb4dJtju7vfRFrETdf1BuQu4ZT0En/view?usp=drive_link,,,,3,10,,,,,,"2,5","2,5","2,5","2,5","2,5","2,5666666667",👍🏻,"3 - 5 jogadores, 👍🏻 (10) - ",1,,,2,,,,,Kippig,,,,3,,,,2,,,,,3,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Boast or Nothing,3 - 5 jogadores,4,"3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/v9-UIdD0NW06M-EonpgLBQ__imagepage/img/q5KZVsQjH7AL_bex3Rk9dVkqKv4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic4652857.jpg,https://boardgamegeek.com/boardgame/223952/boast-or-nothing,https://ludopedia.com.br/jogo/boast-or-nothing,https://drive.google.com/file/d/13qCLPmSSrLljYkxwd8e_M5Hx6SymMWQQ/view?usp=drive_link,"{CB}
- {Az} {Lj} {Am} : **[1-11]**
- {Az} {Lj} {Am} : **[cor]** --> hierarquia das cores
- **[X]** x 4 --> Pass
- Trilha de pontuação + 1 cubo colorido por jogador","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[1-11]**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[cor]** --> hierarquia das cores
- **[X]** x 4 --> Pass
- Trilha de pontuação + 1 cubo colorido por jogador",✅✅✅,4,15,,,,,,,,"2,5","2,5","2,5","3,25",⭐,"3 - 5 jogadores, ⭐ (15) - ✅✅✅",,,4,5,2,,2,3,,4,,,3,,,,4,,,,,4,,,,3,,,,3,3,,,3,,,,,,,,,,,,4,,,2,,,,,,,5,,,,,,,,,,
Bode of War,3 - 6 jogadores,"4, 5, 6","3, 4, 5, 6",Vaza,  Vaza,https://cf.geekdo-images.com/HjijPwl_2rL4zmERKw3e3g__imagepage/img/GsVaX06GF_3CND6XZwuwYb6pQMc=/fit-in/900x600/filters:no_upscale():strip_icc()/pic877903.jpg,https://boardgamegeek.com/boardgame/31506/ziegen-kriegen,https://ludopedia.com.br/jogo/ziegen-kriegen,https://ludopedia.com.br/jogo/ziegen-kriegen/anexos/131239,,,,3,26,,,,,,,,,,,"2,2692307692",👍🏻,"3 - 6 jogadores, 👍🏻 (26) - ",,,2,2,,2,3,2,,1,,,,,,,2,2,1,,,2,3,2,4,,,2,2,,3,2,,2,,2,,2,,2,3,,2,2,,,,2,2,,,3,,,,,2,,,,,,,,,
Bremen,3 - 4 jogadores,,"3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/9e5hPjORw_rwW0FPKVdSmw__imagepage/img/sErEy7nahD_iVZpeZKp0Dx-pv7c=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6366257.jpg,https://boardgamegeek.com/boardgame/322448/bremen,https://ludopedia.com.br/jogo/bremen,https://drive.google.com/file/d/1nCHDUlnxD7iUKwFyPsmdiRlVplkV_Kvh/view?usp=drive_link,,,,,8,,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,7142857143",⭐,"3 - 4 jogadores, ⭐ (8) - ",,,,2,,,,2,,,,,4,,,,,,,,,3,,,,,,,1,3,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Brian Boru,3 - 5 jogadores,4,"3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/S-Ro5X2B6x2V6bana2f0fA__imagepage/img/qeQ-jO77MeGluz6KBn8tqBQJzTA=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6149105.jpg,https://boardgamegeek.com/boardgame/337765/brian-boru-high-king-ireland,https://ludopedia.com.br/jogo/brian-boru-high-king-of-ireland,https://meeplebr.com/app/uploads/2022/12/Manual-brian-boru-corrigido.pdf,,,,4,26,,,,,,,,,,,"3,1153846154",⭐,"3 - 5 jogadores, ⭐ (26) - ",,,4,1,2,,2,2,,3,,,4,Controle de Área,,,5,,1,2,4,4,4,,,3,,5,,,,3,3,3,2,,,,,5,4,,,3,2,,,,4,,3,3,5,,,,2,,2,5,,,,,,
Bridge,4 jogadores,4,4,Vaza,  Vaza,https://cf.geekdo-images.com/MA8CQQUgwXGX-UeOqJbTdg__imagepage/img/dQwls5fNXVydEyaww25cXznhrZU=/fit-in/900x600/filters:no_upscale():strip_icc()/pic4013791.jpg,https://boardgamegeek.com/boardgame/2181/bridge,https://ludopedia.com.br/jogo/bridge,https://www.pagat.com/auctionwhist/bridge.html,"{CB}
- {Az} {Bk} {Lj} {Vd} : **[2-10, J, Q, K, A]**","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> : **[2-10, J, Q, K, A]**",♠♥♣♦,,4,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,8333333333",⭐,"4 jogadores, ⭐ (4) - ♠♥♣♦",,,,2,,,,3,,,,,,Leilão,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
Bridge City Poker,2 - 4 jogadores,"2, 3","2, 3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/bU-5fsnlPxQs3vNFQQRQig__imagepage/img/3U52h04bo8sWR5EU9MTl-c6-PKo=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6327308.jpg,https://boardgamegeek.com/boardgame/332393/bridge-city-poker,https://ludopedia.com.br/jogo/bridge-city-poker,https://drive.google.com/file/d/1-2_imS67pp21KDua2neQosgb0oYskHw0/view?usp=drive_link,,,,4,12,,,,,,,"2,5","2,5","2,5","2,5","2,875",⭐,"2 - 4 jogadores, ⭐ (12) - ",3,1,,2,,,3,3,,,,,3,"Climbing, Shedding",,,,,3,,4,3,,,,2,,3,,,,,4,,,,,,,,,3,,,2,,,,,,,,3,,,3,,,,,,,,,,
Bug Council of Backyardia,1 - 5 jogadores,3,"1, 2, 3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/Yld7UT-hE2mGx0pH8uNQ9A__imagepage/img/9xsTYt1_m6ynTAiSpigI6vOv0cE=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6842651.png,https://boardgamegeek.com/boardgame/337255/bug-council-backyardia,https://ludopedia.com.br/jogo/bug-council-of-backyardia,https://drive.google.com/open?id=1d4hVUCV-Hxrv_wQo7itVgZw6Y2I3UQZD&usp=drive_copy,"{CB}
- {Az} {Bk} {Lj} {Vd} {Am} : **[1-12, cor]**
- **[X]** x 5 --> declaration
- **18 cubos pretos**
- Trilha de Pontuação","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[1-12, cor]**
- **[X]** x 5 --> declaration
- **18 cubos pretos**
- Trilha de Pontuação",✅✅,3,6,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,6538461538",⭐,"1 - 5 jogadores, ⭐ (6) - ✅✅",,,,2,4,,,,,,,,4,Mancala,,,1,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,"#### Informações Adicionais
- Utilize as cartas de cor para ""montar"" o tabuleiro. Deixe um espaço no centro para o conselho.",,,,,,,,,,,,,,,,
Buraco,2 - 4 jogadores,4,"2, 3, 4",Rummy,  Rummy,https://storage.googleapis.com/ludopedia-imagens-jogo/0dd7b_91927_m.jpg,https://boardgamegeek.com/boardgame/64431/buraco,https://ludopedia.com.br/jogo/canastra,https://www.pagat.com/rummy/buraco.html,,,,3,31,,,,,,,,,,,"2,6451612903",⭐,"2 - 4 jogadores, ⭐ (31) - ",2,2,3,5,2,,2,2,,3,,,3,,,4,1,,,3,1,3,,,2,2,4,,3,3,,4,,3,1,,,,,4,2,,,,2,1,,,3,,,,5,,5,,1,4,3,3,2,,,2,,
Burglian,3 - 5 jogadores,,"3, 4, 5",Shedding,  Shedding,https://cf.geekdo-images.com/wSsbb-t0h_9dj_-n2df4NA__imagepage/img/9Qpj5OP_KSHSHAW9UoPvgqNLUs8=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8008482.jpg,https://boardgamegeek.com/boardgame/413342/burglian,,,,,,,0,,,,,,,,,,,,,"3 - 5 jogadores,  (0) - ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabanga!,3 - 6 jogadores,"4, 5","3, 4, 5, 6",Shedding,📝  Shedding,https://cf.geekdo-images.com/nbGlxygT3CGhM7L-9_1gkQ__imagepage/img/i_MUc8l6DF162M7f8qSDOgKGflE=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7655903.jpg,https://boardgamegeek.com/boardgame/394889/cabanga,https://ludopedia.com.br/jogo/cabanga,https://drive.google.com/file/d/1MTYGL621k2Bl_hiif3HLNzudFPyKBDox/view?usp=drive_link,"{CB}
- {Az} {Lj} {Vd} {Am} : **[1-18]**
- {Cz} : **[1, 3, 5, 7, 12, 14, 16, 18]**","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[1-18]**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/Z_wqjell.png"" style=""height:23px; width:23px; display: inline;""> : **[1, 3, 5, 7, 12, 14, 16, 18]**",✅✅✅,2,15,,,,,,,,"2,5","2,5","2,5","2,6944444444",⭐,"3 - 6 jogadores, ⭐ (15) - ✅✅✅",4,,4,2,,,,2,,,,📝,,,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- N/A


**Distribuir Cartas:**
- Distribua 8 cartas para cada jogador.


**Informações Adicionais:**
- Coloque as cartas de naipe formando uma coluna.
- Embaralhe as cartas iniciais, e coloque viradas para cima uma no lado direito e uma no lado esquerdo de cada carta de naipe.

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Como Jogar:**
- Em sua vez, o jogador deve colocar uma carta de número em um dos lados da carta de naipe correspondente (sobre as cartas lá existentes).
- Os demais jogadores, podem entregar a esse jogador cartas do mesmo naipe que pertençam ao intervalo entre a carta posicionada e a carta do outro lado. Para cada carta que o jogador receber, ele compra uma carta para mão (as cartas entregues não vão para mão, coloque-as em um descarte). Se a pilha de compras acabar, embaralhe o descarte.
- Se um jogador jogar uma carta de mesmo naipe que o jogador anterior, compra uma carta.
- Quando um jogador jogar sua última carta, ele deve esperar se ninguém irá entregar cartas para ele antes de bater.
- Um jogador pode bater entregando cartas para outros jogadores.


**Fim da Rodada:**
- Quando algum jogador fica sem cartas na mão.


**Quem começa a próxima rodada:**
- O jogador à esquerda do jogador que bateu.


------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Os jogadores que não bateram na rodada pontuam negativamente os ícones das cartas de suas mãos.


**Fim de Jogo:**
- Quando um jogador fizer 18 ou mais pontos.


**Quem vence o jogo:**
- Quem tiver menos pontos.


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- N/A
",,2,,,3,,4,2,,,,,,,3,,,,3,,,,,4,2,,,3,,3,,,,,,,,,,,,,,,1,3,"### Player Aid
Valores das cartas:
- 1, 2, 3, 16, 17, 18 - 1 ponto.
- 4, 5, 6, 13, 14, 15 - 2 pontos.
- 7, 8, 9, 10, 11, 12 - 3 pontos.
",,,,
